series_key,window_type,window_label,stat_name,value,ci_low,ci_high,p_value,skip_reason,p_value_adjusted,flag_significant
international_reserves,full_history,1995-12 to 2026-09,volatility_zscore,0.3216965296495697,0.25713422331709845,0.3905878069762159,0.7476826071532252,,0.8749477317750508,False
international_reserves,full_history,1995-12 to 2026-09,skewness,0.04803237838317713,-0.0372470958564983,0.13218519083080105,,,,False
international_reserves,full_history,1995-12 to 2026-09,excess_kurtosis,-1.480672952901281,-1.513170292914461,-1.441828453816784,,,,False
international_reserves,full_history,1995-12 to 2026-09,jarque_bera_normality,146.7842639334598,,,1.337217562252581e-32,,9.593082511811993e-32,True
international_reserves,full_history,1995-12 to 2026-09,ac1_trend_tau,0.12296671301116632,,,9.81968895597618e-13,,4.050621694340174e-12,True
international_reserves,full_history,1995-12 to 2026-09,variance_trend_tau,0.21863351713781595,,,7.4013083878910405e-37,,5.550981290918281e-36,True
international_reserves,full_history,1995-12 to 2026-09,critical_slowing_down_flag,1.0,,,9.81968895597618e-13,,4.050621694340174e-12,True
international_reserves,rolling_10y,2016-09 to 2026-09,mean,200738.8053639847,198560.5713697318,202886.4982183908,,,,False
international_reserves,rolling_10y,2016-09 to 2026-09,median,196632.84999999998,194936.0,198561.89875,,,,False
international_reserves,rolling_10y,2016-09 to 2026-09,std,25715.505546854358,,,,,,False
international_reserves,rolling_10y,2016-09 to 2026-09,min,172408.9,,,,,,False
international_reserves,rolling_10y,2016-09 to 2026-09,max,258608.8,,,,,,False
international_reserves,rolling_10y,2016-09 to 2026-09,latest_value,258034.6,,,,,,False
international_reserves,rolling_10y,2016-09 to 2026-09,z_score,2.228064096644758,2.050347908923661,2.426946166591753,0.02587624105649411,,0.061877967743790264,False
international_reserves,rolling_10y,2016-09 to 2026-09,percentile_rank,99.52107279693487,98.9463601532567,100.0,,,,False
international_reserves,rolling_10y,2016-09 to 2026-09,change_zscore,-0.8663230566336975,-1.4433680777653064,-0.6259716364325787,0.3863130256829965,,0.5691218681937003,False
international_reserves,rolling_10y,2016-09 to 2026-09,volatility_zscore,0.5549117067830054,0.423066018385774,0.7073354718012134,0.5789550540928252,,0.7521857001993398,False
international_reserves,rolling_10y,2016-09 to 2026-09,skewness,0.8230582476140184,0.6888643934152782,0.9606436933476552,,,,False
international_reserves,rolling_10y,2016-09 to 2026-09,excess_kurtosis,-0.40051515765821444,-0.7138600311338779,-0.01111535249731354,,,,False
international_reserves,rolling_10y,2016-09 to 2026-09,jarque_bera_normality,62.22092504851072,,,3.082462460325742e-14,,1.338437647246704e-13,True
international_reserves,rolling_10y,2016-09 to 2026-09,ac1_trend_tau,0.290495712050793,,,6.546891502119717e-19,,3.7249555098267355e-18,True
international_reserves,rolling_10y,2016-09 to 2026-09,variance_trend_tau,0.5332701465096893,,,9.015498793522708e-60,,1.14427484687019e-58,True
international_reserves,rolling_10y,2016-09 to 2026-09,critical_slowing_down_flag,1.0,,,6.546891502119717e-19,,3.7249555098267355e-18,True
international_reserves,since_last_break,2024-10 to 2026-09,mean,244753.3386138614,242754.24116336633,246752.18777227722,,,,False
international_reserves,since_last_break,2024-10 to 2026-09,median,246528.4,241911.5,250205.9,,,,False
international_reserves,since_last_break,2024-10 to 2026-09,std,10651.552947387252,,,,,,False
international_reserves,since_last_break,2024-10 to 2026-09,min,225361.3,,,,,,False
international_reserves,since_last_break,2024-10 to 2026-09,max,258608.8,,,,,,False
international_reserves,since_last_break,2024-10 to 2026-09,latest_value,258034.6,,,,,,False
international_reserves,since_last_break,2024-10 to 2026-09,z_score,1.2468849802221953,1.0855530116316061,1.4412174256479997,0.21243967477764247,,0.36513069102407303,False
international_reserves,since_last_break,2024-10 to 2026-09,percentile_rank,97.52475247524752,94.05940594059406,100.0,,,,False
international_reserves,since_last_break,2024-10 to 2026-09,change_zscore,-1.2493127014979564,-1.598843780226761,-0.9998254778748688,0.21155072407994124,,0.36513069102407303,False
international_reserves,since_last_break,2024-10 to 2026-09,volatility_zscore,-0.07216333950082375,-0.2733706824971869,0.12538343188461565,0.9424719199195428,,0.997259464683621,False
international_reserves,since_last_break,2024-10 to 2026-09,skewness,-0.41029403642457585,-0.7207315957149889,-0.1136303105338454,,,,False
international_reserves,since_last_break,2024-10 to 2026-09,excess_kurtosis,-1.175071899209191,-1.464831824244323,-0.6770022626779307,,,,False
international_reserves,since_last_break,2024-10 to 2026-09,jarque_bera_normality,8.57506783491038,,,0.013738764482380861,,0.03487532522450527,True
